DATE,STATION,fire_risk_score
2023-01-30,USW00023185,0.93594223
2023-01-08,USW00024257,0.93594223
2023-08-22,USW00024257,0.93581676
2023-12-03,USW00023157,0.9353882
2023-09-16,USW00023155,0.93532467
2023-01-16,USW00023157,0.93503535
2023-01-13,USW00023157,0.9349221
2023-01-17,USW00023185,0.93463165
2023-01-23,USW00024257,0.9344953
2023-11-17,USW00024257,0.9342671
2023-02-05,USW00023185,0.9342514
2023-07-01,USW00023157,0.9340521
2023-06-07,USW00024257,0.93382096
2023-01-01,USW00023185,0.9336063
2023-04-05,USW00023157,0.93352467
2023-11-18,USW00024257,0.9333309
2023-09-04,USW00024257,0.9330486
2023-03-03,USW00023157,0.9329283
2023-04-29,USW00024257,0.9323005
2023-11-04,USW00093193,0.93197507
2022-02-02,USW00023185,0.9317197
2021-01-25,USW00023157,0.9315005
2023-01-04,USW00093193,0.9314479
2023-02-28,USW00024257,0.931154
2023-06-15,USW00023155,0.9309348
2023-01-12,USW00024257,0.9308251
2023-09-17,USW00023185,0.930739
2023-03-25,USW00023155,0.9306954
2023-08-03,USW00023155,0.9306878
2023-06-13,USW00023185,0.9304963
2023-02-02,USW00093193,0.9302787
2023-03-11,USW00023157,0.9302342
2023-05-16,USW00023157,0.9298319
2023-04-30,USW00023157,0.9296163
2023-08-15,USW00023157,0.9294085
2023-06-04,USW00024257,0.92930615
2023-02-06,USW00023185,0.92930204
2023-06-30,USW00024257,0.9291283
2023-11-23,USW00023157,0.9288558
2023-01-15,USW00023185,0.92882234
2023-09-12,USW00023155,0.9286154
2023-03-14,USW00093193,0.9285561
2023-03-14,USW00023157,0.9283187
2023-06-10,USW00023185,0.92824256
2023-02-12,USW00023157,0.9279449
2022-09-11,USW00023157,0.92758465
2023-11-26,USW00093193,0.9275748
2023-01-10,USW00023157,0.9274406
2023-01-22,USW00023157,0.92728883
2023-11-21,USW00024257,0.9272544
2023-01-21,USW00093193,0.92715704
2023-03-08,USW00023185,0.92698735
2023-04-01,USW00024257,0.9264238
2023-03-19,USW00024257,0.926337
2023-06-10,USW00023157,0.9259531
2023-01-25,USW00023155,0.9255127
2023-05-26,USW00023185,0.92540556
2023-05-27,USW00024257,0.9250999
2023-11-22,USW00093193,0.9248794
2022-07-18,USW00023155,0.92479616
2023-12-21,USW00093193,0.9247908
2023-01-05,USW00023155,0.9247868
2023-02-27,USW00093193,0.92457736
2023-02-28,USW00023155,0.92453223
2023-09-30,USW00023157,0.9244744
2023-01-04,USW00023157,0.9242022
2023-02-11,USW00024257,0.9241
2023-12-06,USW00024257,0.92393243
2023-12-10,USW00023185,0.92363
2022-02-04,USW00023157,0.9234105
2023-01-18,USW00023185,0.9231784
2023-09-04,USW00023185,0.9230269
2023-08-03,USW00093193,0.9230178
2023-11-22,USW00024257,0.92300844
2023-01-15,USW00023155,0.9229959
2023-07-14,USW00023157,0.9224453
2023-11-05,USW00093193,0.9222968
2023-03-05,USW00093193,0.92228013
2023-05-18,USW00093193,0.9221387
2023-11-15,USW00093193,0.9218282
2023-08-21,USW00023185,0.9217086
2023-09-18,USW00093193,0.92156863
2023-02-14,USW00023185,0.9212344
2023-12-06,USW00023185,0.92110175
2023-05-02,USW00023157,0.9207966
2023-08-23,USW00024257,0.9207807
2023-01-21,USW00023185,0.9207146
2023-12-18,USW00023155,0.9206839
2023-02-21,USW00023185,0.92025816
2023-09-02,USW00024257,0.9202194
2023-05-01,USW00023185,0.92011374
2023-08-10,USW00023155,0.919917
2023-03-31,USW00024257,0.9195839
2023-12-23,USW00093193,0.91948575
2023-12-11,USW00093193,0.91920936
2023-08-21,USW00023157,0.919054
2023-01-02,USW00024257,0.91840345
2023-03-07,USW00023185,0.9183923
2023-01-01,USW00093193,0.9180225
2023-05-21,USW00023155,0.9180177
2020-04-10,USW00023157,0.917851
2023-03-16,USW00023157,0.9178268
2023-02-27,USW00023157,0.917554
2023-01-20,USW00023185,0.9168445
2023-10-06,USW00024257,0.9166847
2023-02-08,USW00093193,0.91655606
2023-12-31,USW00024257,0.91653246
2023-11-05,USW00023185,0.91644734
2023-09-16,USW00093193,0.91642
2023-11-15,USW00023185,0.91626775
2023-01-11,USW00093193,0.9162154
2023-06-01,USW00023155,0.91569716
